Caso,Tamaño,TiempoDP (µs),MemoriaTotal (bytes)
Casi Idéntico,584,9,196
Transposicion,584,14163,1368900
Aleatorio,585,13532,1373584
Palindromo,585,13044,1373584
Repetidos,585,19882,1373584
Casi Idéntico,585,8,196
Transposicion,585,12669,1373584
Aleatorio,586,14010,1378276
Palindromo,586,14005,1378276
Repetidos,586,23180,1378276
Casi Idéntico,586,9,196
Transposicion,586,14513,1378276
Aleatorio,587,13473,1382976
Palindromo,587,13404,1382976
Repetidos,587,20692,1382976
Casi Idéntico,587,8,196
Transposicion,587,13308,1382976
Aleatorio,588,13579,1387684
Palindromo,588,13845,1387684
Repetidos,588,20462,1387684
Casi Idéntico,588,6,196
Transposicion,588,13129,1387684
Aleatorio,589,13667,1392400
Palindromo,589,13561,1392400
Repetidos,589,20179,1392400
Casi Idéntico,589,6,196
Transposicion,589,13178,1392400
Aleatorio,590,15243,1397124
Palindromo,590,13883,1397124
Repetidos,590,20420,1397124
Casi Idéntico,590,7,196
Transposicion,590,12968,1397124
Aleatorio,591,14031,1401856
Palindromo,591,13313,1401856
Repetidos,591,20483,1401856
Casi Idéntico,591,7,196
Transposicion,591,12856,1401856
Aleatorio,592,13607,1406596
Palindromo,592,13676,1406596
Repetidos,592,20495,1406596
Casi Idéntico,592,5,196
Transposicion,592,13307,1406596
Aleatorio,593,13900,1411344
Palindromo,593,15670,1411344
Repetidos,593,21094,1411344
Casi Idéntico,593,10,196
Transposicion,593,13334,1411344
Aleatorio,594,15324,1416100
Palindromo,594,14092,1416100
Repetidos,594,21078,1416100
Casi Idéntico,594,5,196
Transposicion,594,13684,1416100
Aleatorio,595,14242,1420864
Palindromo,595,13813,1420864
Repetidos,595,21686,1420864
Casi Idéntico,595,7,196
Transposicion,595,13366,1420864
Aleatorio,596,13801,1425636
Palindromo,596,14089,1425636
Repetidos,596,21978,1425636
Casi Idéntico,596,6,196
Transposicion,596,15070,1425636
Aleatorio,597,16321,1430416
Palindromo,597,14434,1430416
Repetidos,597,21543,1430416
Casi Idéntico,597,8,196
Transposicion,597,13845,1430416
Aleatorio,598,14098,1435204
Palindromo,598,13649,1435204
Repetidos,598,21014,1435204
Casi Idéntico,598,6,196
Transposicion,598,12905,1435204
Aleatorio,599,14012,1440000
Palindromo,599,14470,1440000
Repetidos,599,21289,1440000
Casi Idéntico,599,5,196
Transposicion,599,14131,1440000
Aleatorio,600,15787,1444804
Palindromo,600,14829,1444804
Repetidos,600,22386,1444804
Casi Idéntico,600,9,196
Transposicion,600,13620,1444804
Aleatorio,601,14984,1449616
Palindromo,601,14676,1449616
Repetidos,601,21597,1449616
Casi Idéntico,601,10,196
Transposicion,601,13697,1449616
Aleatorio,602,14152,1454436
Palindromo,602,14191,1454436
Repetidos,602,21434,1454436
Casi Idéntico,602,15,196
Transposicion,602,13667,1454436
Aleatorio,603,14239,1459264
Palindromo,603,14182,1459264
Repetidos,603,19027,1459264
Casi Idéntico,603,9,196
Transposicion,603,13874,1459264
Aleatorio,604,14086,1464100
Palindromo,604,14878,1464100
Repetidos,604,21115,1464100
Casi Idéntico,604,7,196
Transposicion,604,12092,1464100
Aleatorio,605,13379,1468944
Palindromo,605,13974,1468944
Repetidos,605,20847,1468944
Casi Idéntico,605,6,196
Transposicion,605,13248,1468944
Aleatorio,606,13797,1473796
Palindromo,606,14395,1473796
Repetidos,606,21353,1473796
Casi Idéntico,606,5,196
Transposicion,606,13607,1473796
Aleatorio,607,13355,1478656
Palindromo,607,13649,1478656
Repetidos,607,20977,1478656
Casi Idéntico,607,7,196
Transposicion,607,13377,1478656
Aleatorio,608,13765,1483524
Palindromo,608,13239,1483524
Repetidos,608,19679,1483524
Casi Idéntico,608,5,196
Transposicion,608,13439,1483524
Aleatorio,609,14105,1488400
Palindromo,609,14145,1488400
Repetidos,609,21527,1488400
Casi Idéntico,609,8,196
Transposicion,609,13386,1488400
Aleatorio,610,14135,1493284
Palindromo,610,16890,1493284
Repetidos,610,21502,1493284
Casi Idéntico,610,7,196
Transposicion,610,13480,1493284
Aleatorio,611,13950,1498176
Palindromo,611,14313,1498176
Repetidos,611,19629,1498176
Casi Idéntico,611,6,196
Transposicion,611,14121,1498176
Aleatorio,612,14367,1503076
Palindromo,612,13349,1503076
Repetidos,612,21802,1503076
Casi Idéntico,612,5,196
Transposicion,612,14546,1503076
Aleatorio,613,14413,1507984
Palindromo,613,14968,1507984
Repetidos,613,20179,1507984
Casi Idéntico,613,7,196
Transposicion,613,13640,1507984
Aleatorio,614,14511,1512900
Palindromo,614,13828,1512900
Repetidos,614,21153,1512900
Casi Idéntico,614,5,196
Transposicion,614,13538,1512900
Aleatorio,615,13421,1517824
Palindromo,615,14805,1517824
Repetidos,615,23666,1517824
Casi Idéntico,615,8,196
Transposicion,615,13720,1517824
Aleatorio,616,16864,1522756
Palindromo,616,14119,1522756
Repetidos,616,20572,1522756
Casi Idéntico,616,5,196
Transposicion,616,13409,1522756
Aleatorio,617,13923,1527696
Palindromo,617,14522,1527696
Repetidos,617,25340,1527696
Casi Idéntico,617,7,196
Transposicion,617,13943,1527696
Aleatorio,618,14512,1532644
Palindromo,618,15839,1532644
Repetidos,618,21074,1532644
Casi Idéntico,618,5,196
Transposicion,618,13336,1532644
Aleatorio,619,14126,1537600
Palindromo,619,14916,1537600
Repetidos,619,21065,1537600
Casi Idéntico,619,7,196
Transposicion,619,13686,1537600
Aleatorio,620,15423,1542564
Palindromo,620,13668,1542564
Repetidos,620,21792,1542564
Casi Idéntico,620,5,196
Transposicion,620,13917,1542564
Aleatorio,621,15049,1547536
Palindromo,621,14823,1547536
Repetidos,621,20471,1547536
Casi Idéntico,621,8,196
Transposicion,621,12822,1547536
Aleatorio,622,14555,1552516
Palindromo,622,13779,1552516
Repetidos,622,21757,1552516
Casi Idéntico,622,6,196
Transposicion,622,13634,1552516
Aleatorio,623,13925,1557504
Palindromo,623,15575,1557504
Repetidos,623,22308,1557504
Casi Idéntico,623,6,196
Transposicion,623,13522,1557504
Aleatorio,624,13827,1562500
Palindromo,624,13213,1562500
Repetidos,624,20258,1562500
Casi Idéntico,624,5,196
Transposicion,624,14534,1562500
Aleatorio,625,15003,1567504
Palindromo,625,14580,1567504
Repetidos,625,22398,1567504
Casi Idéntico,625,7,196
Transposicion,625,14198,1567504
Aleatorio,626,14492,1572516
Palindromo,626,14766,1572516
Repetidos,626,20618,1572516
Casi Idéntico,626,5,196
Transposicion,626,14402,1572516
Aleatorio,627,15692,1577536
Palindromo,627,14870,1577536
Repetidos,627,20742,1577536
Casi Idéntico,627,9,196
Transposicion,627,13963,1577536
Aleatorio,628,14933,1582564
Palindromo,628,14338,1582564
Repetidos,628,21723,1582564
Casi Idéntico,628,5,196
Transposicion,628,15864,1582564
Aleatorio,629,14344,1587600
Palindromo,629,13831,1587600
Repetidos,629,20366,1587600
Casi Idéntico,629,7,196
Transposicion,629,14264,1587600
Aleatorio,630,15197,1592644
Palindromo,630,15354,1592644
Repetidos,630,20833,1592644
Casi Idéntico,630,5,196
Transposicion,630,14858,1592644
Aleatorio,631,15452,1597696
Palindromo,631,14928,1597696
Repetidos,631,22740,1597696
Casi Idéntico,631,7,196
Transposicion,631,14927,1597696
Aleatorio,632,15101,1602756
Palindromo,632,14295,1602756
Repetidos,632,21803,1602756
Casi Idéntico,632,5,196
Transposicion,632,14170,1602756
Aleatorio,633,14055,1607824
Palindromo,633,15418,1607824
Repetidos,633,21466,1607824
Casi Idéntico,633,8,196
Transposicion,633,15882,1607824
Aleatorio,634,16418,1612900
Palindromo,634,15006,1612900
Repetidos,634,22476,1612900
Casi Idéntico,634,5,196
Transposicion,634,14780,1612900
Aleatorio,635,16168,1617984
Palindromo,635,15545,1617984
Repetidos,635,22458,1617984
Casi Idéntico,635,7,196
Transposicion,635,14867,1617984
Aleatorio,636,14289,1623076
Palindromo,636,16993,1623076
Repetidos,636,24866,1623076
Casi Idéntico,636,6,196
Transposicion,636,14441,1623076
Aleatorio,637,14527,1628176
Palindromo,637,15027,1628176
Repetidos,637,21886,1628176
Casi Idéntico,637,8,196
Transposicion,637,14692,1628176
Aleatorio,638,14893,1633284
Palindromo,638,14111,1633284
Repetidos,638,22526,1633284
Casi Idéntico,638,4,196
Transposicion,638,14987,1633284
Aleatorio,639,15039,1638400
Palindromo,639,14738,1638400
Repetidos,639,24297,1638400
Casi Idéntico,639,9,196
Transposicion,639,15029,1638400
Aleatorio,640,16082,1643524
Palindromo,640,14611,1643524
Repetidos,640,22657,1643524
Casi Idéntico,640,6,196
Transposicion,640,14827,1643524
Aleatorio,641,14612,1648656
Palindromo,641,16098,1648656
Repetidos,641,21467,1648656
Casi Idéntico,641,14,196
Transposicion,641,14784,1648656
Aleatorio,642,15163,1653796
Palindromo,642,16028,1653796
Repetidos,642,22106,1653796
Casi Idéntico,642,6,196
Transposicion,642,15000,1653796
Aleatorio,643,15841,1658944
Palindromo,643,14888,1658944
Repetidos,643,21814,1658944
Casi Idéntico,643,8,196
Transposicion,643,14753,1658944
Aleatorio,644,15864,1664100
Palindromo,644,16197,1664100
Repetidos,644,21365,1664100
Casi Idéntico,644,5,196
Transposicion,644,14225,1664100
Aleatorio,645,16154,1669264
Palindromo,645,15925,1669264
Repetidos,645,23953,1669264
Casi Idéntico,645,8,196
Transposicion,645,14460,1669264
Aleatorio,646,14742,1674436
Palindromo,646,16835,1674436
Repetidos,646,24896,1674436
Casi Idéntico,646,10,196
Transposicion,646,13318,1674436
Aleatorio,647,14717,1679616
Palindromo,647,15379,1679616
Repetidos,647,21498,1679616
Casi Idéntico,647,10,196
Transposicion,647,17727,1679616
Aleatorio,648,16148,1684804
Palindromo,648,15993,1684804
Repetidos,648,22036,1684804
Casi Idéntico,648,8,196
Transposicion,648,14422,1684804
Aleatorio,649,14952,1690000
Palindromo,649,15078,1690000
Repetidos,649,22235,1690000
Casi Idéntico,649,7,196
Transposicion,649,14489,1690000
Aleatorio,650,16024,1695204
Palindromo,650,15900,1695204
Repetidos,650,23367,1695204
Casi Idéntico,650,5,196
Transposicion,650,16560,1695204
Aleatorio,651,16154,1700416
Palindromo,651,16745,1700416
Repetidos,651,23559,1700416
Casi Idéntico,651,7,196
Transposicion,651,14532,1700416
Aleatorio,652,15584,1705636
Palindromo,652,15384,1705636
Repetidos,652,23682,1705636
Casi Idéntico,652,5,196
Transposicion,652,14375,1705636
Aleatorio,653,14794,1710864
Palindromo,653,14298,1710864
Repetidos,653,24115,1710864
Casi Idéntico,653,13,196
Transposicion,653,15903,1710864
Aleatorio,654,15995,1716100
Palindromo,654,15579,1716100
Repetidos,654,25029,1716100
Casi Idéntico,654,5,196
Transposicion,654,16531,1716100
Aleatorio,655,15247,1721344
Palindromo,655,14845,1721344
Repetidos,655,22418,1721344
Casi Idéntico,655,6,196
Transposicion,655,15539,1721344
Aleatorio,656,15246,1726596
Palindromo,656,16336,1726596
Repetidos,656,24046,1726596
Casi Idéntico,656,5,196
Transposicion,656,14703,1726596
Aleatorio,657,16009,1731856
Palindromo,657,16374,1731856
Repetidos,657,22810,1731856
Casi Idéntico,657,9,196
Transposicion,657,15174,1731856
Aleatorio,658,15849,1737124
Palindromo,658,15628,1737124
Repetidos,658,22336,1737124
Casi Idéntico,658,4,196
Transposicion,658,15750,1737124
Aleatorio,659,16739,1742400
Palindromo,659,16854,1742400
Repetidos,659,22653,1742400
Casi Idéntico,659,7,196
Transposicion,659,16046,1742400
Aleatorio,660,15778,1747684
Palindromo,660,16330,1747684
Repetidos,660,24085,1747684
Casi Idéntico,660,5,196
Transposicion,660,15116,1747684
Aleatorio,661,16141,1752976
Palindromo,661,15891,1752976
Repetidos,661,23155,1752976
Casi Idéntico,661,7,196
Transposicion,661,15870,1752976
Aleatorio,662,17444,1758276
Palindromo,662,16593,1758276
Repetidos,662,24444,1758276
Casi Idéntico,662,5,196
Transposicion,662,16052,1758276
Aleatorio,663,16259,1763584
Palindromo,663,16071,1763584
Repetidos,663,24789,1763584
Casi Idéntico,663,7,196
Transposicion,663,15809,1763584
Aleatorio,664,15869,1768900
Palindromo,664,14929,1768900
Repetidos,664,25521,1768900
Casi Idéntico,664,4,196
Transposicion,664,16648,1768900
Aleatorio,665,16098,1774224
Palindromo,665,15998,1774224
Repetidos,665,23386,1774224
Casi Idéntico,665,10,196
Transposicion,665,15906,1774224
Aleatorio,666,16075,1779556
Palindromo,666,17180,1779556
Repetidos,666,23287,1779556
Casi Idéntico,666,5,196
Transposicion,666,18327,1779556
Aleatorio,667,17161,1784896
Palindromo,667,17609,1784896
Repetidos,667,23835,1784896
Casi Idéntico,667,9,196
Transposicion,667,17180,1784896
Aleatorio,668,17583,1790244
Palindromo,668,16618,1790244
Repetidos,668,23298,1790244
Casi Idéntico,668,7,196
Transposicion,668,17190,1790244
Aleatorio,669,16779,1795600
Palindromo,669,16073,1795600
Repetidos,669,23835,1795600
Casi Idéntico,669,7,196
Transposicion,669,16153,1795600
Aleatorio,670,15845,1800964
Palindromo,670,16479,1800964
Repetidos,670,25623,1800964
Casi Idéntico,670,5,196
Transposicion,670,15537,1800964
Aleatorio,671,16126,1806336
Palindromo,671,15793,1806336
Repetidos,671,24692,1806336
Casi Idéntico,671,7,196
Transposicion,671,15714,1806336
Aleatorio,672,16308,1811716
Palindromo,672,16271,1811716
Repetidos,672,23918,1811716
Casi Idéntico,672,5,196
Transposicion,672,16113,1811716
Aleatorio,673,16334,1817104
Palindromo,673,17155,1817104
Repetidos,673,24162,1817104
Casi Idéntico,673,8,196
Transposicion,673,15409,1817104
Aleatorio,674,17045,1822500
Palindromo,674,16866,1822500
Repetidos,674,24108,1822500
Casi Idéntico,674,5,196
Transposicion,674,16176,1822500
Aleatorio,675,15756,1827904
Palindromo,675,16746,1827904
Repetidos,675,23992,1827904
Casi Idéntico,675,6,196
Transposicion,675,16429,1827904
Aleatorio,676,20508,1833316
Palindromo,676,17221,1833316
Repetidos,676,24203,1833316
Casi Idéntico,676,5,196
Transposicion,676,16766,1833316
Aleatorio,677,16850,1838736
Palindromo,677,17207,1838736
Repetidos,677,25314,1838736
Casi Idéntico,677,9,196
Transposicion,677,16671,1838736
Aleatorio,678,18378,1844164
Palindromo,678,17704,1844164
Repetidos,678,25493,1844164
Casi Idéntico,678,11,196
Transposicion,678,17760,1844164
Aleatorio,679,16449,1849600
Palindromo,679,16897,1849600
Repetidos,679,24206,1849600
Casi Idéntico,679,7,196
Transposicion,679,16176,1849600
Aleatorio,680,16950,1855044
Palindromo,680,16971,1855044
Repetidos,680,26062,1855044
Casi Idéntico,680,4,196
Transposicion,680,17233,1855044
Aleatorio,681,17716,1860496
Palindromo,681,17794,1860496
Repetidos,681,24153,1860496
Casi Idéntico,681,7,196
Transposicion,681,16981,1860496
Aleatorio,682,17551,1865956
Palindromo,682,17600,1865956
Repetidos,682,26728,1865956
Casi Idéntico,682,4,196
Transposicion,682,17459,1865956
Aleatorio,683,17583,1871424
Palindromo,683,16004,1871424
Repetidos,683,26586,1871424
Casi Idéntico,683,5,196
Transposicion,683,17239,1871424
Aleatorio,684,17708,1876900
Palindromo,684,17194,1876900
Repetidos,684,25422,1876900
Casi Idéntico,684,5,196
Transposicion,684,15917,1876900
Aleatorio,685,16981,1882384
Palindromo,685,18010,1882384
Repetidos,685,25692,1882384
Casi Idéntico,685,6,196
Transposicion,685,16475,1882384
Aleatorio,686,17849,1887876
Palindromo,686,17936,1887876
Repetidos,686,27272,1887876
Casi Idéntico,686,7,196
Transposicion,686,17519,1887876
Aleatorio,687,18691,1893376
Palindromo,687,17095,1893376
Repetidos,687,26381,1893376
Casi Idéntico,687,10,196
Transposicion,687,17812,1893376
Aleatorio,688,17741,1898884
Palindromo,688,17696,1898884
Repetidos,688,26635,1898884
Casi Idéntico,688,5,196
Transposicion,688,18211,1898884
Aleatorio,689,18645,1904400
Palindromo,689,18747,1904400
Repetidos,689,26367,1904400
Casi Idéntico,689,7,196
Transposicion,689,16455,1904400
Aleatorio,690,18461,1909924
Palindromo,690,19933,1909924
Repetidos,690,25853,1909924
Casi Idéntico,690,5,196
Transposicion,690,17418,1909924
Aleatorio,691,17915,1915456
Palindromo,691,17395,1915456
Repetidos,691,26430,1915456
Casi Idéntico,691,9,196
Transposicion,691,16888,1915456
Aleatorio,692,17136,1920996
Palindromo,692,16832,1920996
Repetidos,692,25983,1920996
Casi Idéntico,692,5,196
Transposicion,692,16480,1920996
Aleatorio,693,17433,1926544
Palindromo,693,17757,1926544
Repetidos,693,25490,1926544
Casi Idéntico,693,5,196
Transposicion,693,16993,1926544
Aleatorio,694,16924,1932100
Palindromo,694,18030,1932100
Repetidos,694,27073,1932100
Casi Idéntico,694,5,196
Transposicion,694,16635,1932100
Aleatorio,695,18779,1937664
Palindromo,695,17882,1937664
Repetidos,695,27517,1937664
Casi Idéntico,695,7,196
Transposicion,695,17802,1937664
Aleatorio,696,18396,1943236
Palindromo,696,18221,1943236
Repetidos,696,27645,1943236
Casi Idéntico,696,5,196
Transposicion,696,17602,1943236
Aleatorio,697,18146,1948816
Palindromo,697,17872,1948816
Repetidos,697,27838,1948816
Casi Idéntico,697,9,196
Transposicion,697,17803,1948816
Aleatorio,698,17539,1954404
Palindromo,698,18999,1954404
Repetidos,698,25495,1954404
Casi Idéntico,698,5,196
Transposicion,698,16318,1954404
Aleatorio,699,17481,1960000
Palindromo,699,18825,1960000
Repetidos,699,26148,1960000
Casi Idéntico,699,9,196
Transposicion,699,19318,1960000
Aleatorio,700,20007,1965604
Palindromo,700,17595,1965604
Repetidos,700,27190,1965604
Casi Idéntico,700,5,196
Transposicion,700,16789,1965604
Aleatorio,701,17268,1971216
Palindromo,701,17899,1971216
Repetidos,701,25626,1971216
Casi Idéntico,701,7,196
Transposicion,701,17587,1971216
Aleatorio,702,18413,1976836
Palindromo,702,18016,1976836
Repetidos,702,27717,1976836
Casi Idéntico,702,36,196
Transposicion,702,18236,1976836
Aleatorio,703,18706,1982464
Palindromo,703,18479,1982464
Repetidos,703,28156,1982464
Casi Idéntico,703,8,196
Transposicion,703,17068,1982464
Aleatorio,704,17579,1988100
Palindromo,704,18223,1988100
Repetidos,704,26266,1988100
Casi Idéntico,704,6,196
Transposicion,704,16807,1988100
Aleatorio,705,18319,1993744
Palindromo,705,17869,1993744
Repetidos,705,26926,1993744
Casi Idéntico,705,7,196
Transposicion,705,16812,1993744
Aleatorio,706,19299,1999396
Palindromo,706,18094,1999396
Repetidos,706,27854,1999396
Casi Idéntico,706,5,196
Transposicion,706,18009,1999396
Aleatorio,707,17618,2005056
Palindromo,707,18549,2005056
Repetidos,707,27429,2005056
Casi Idéntico,707,6,196
Transposicion,707,17238,2005056
Aleatorio,708,17031,2010724
Palindromo,708,17106,2010724
Repetidos,708,27354,2010724
Casi Idéntico,708,5,196
Transposicion,708,18306,2010724
Aleatorio,709,19102,2016400
Palindromo,709,19273,2016400
Repetidos,709,26959,2016400
Casi Idéntico,709,7,196
Transposicion,709,18052,2016400
Aleatorio,710,19361,2022084
Palindromo,710,18809,2022084
Repetidos,710,28251,2022084
Casi Idéntico,710,5,196
Transposicion,710,17486,2022084
Aleatorio,711,17702,2027776
Palindromo,711,19115,2027776
Repetidos,711,28001,2027776
Casi Idéntico,711,6,196
Transposicion,711,18211,2027776
Aleatorio,712,21522,2033476
Palindromo,712,19583,2033476
Repetidos,712,27796,2033476
Casi Idéntico,712,5,196
Transposicion,712,18523,2033476
Aleatorio,713,18628,2039184
Palindromo,713,17979,2039184
Repetidos,713,26752,2039184
Casi Idéntico,713,6,196
Transposicion,713,21907,2039184
Aleatorio,714,27200,2044900
Palindromo,714,34906,2044900
Repetidos,714,26626,2044900
Casi Idéntico,714,6,196
Transposicion,714,17694,2044900
Aleatorio,715,19839,2050624
Palindromo,715,21930,2050624
Repetidos,715,37377,2050624
Casi Idéntico,715,9,196
Transposicion,715,18358,2050624
Aleatorio,716,21405,2056356
Palindromo,716,18597,2056356
Repetidos,716,29353,2056356
Casi Idéntico,716,24,196
Transposicion,716,17380,2056356
Aleatorio,717,18599,2062096
Palindromo,717,18971,2062096
Repetidos,717,27837,2062096
Casi Idéntico,717,7,196
Transposicion,717,18644,2062096
Aleatorio,718,19415,2067844
Palindromo,718,19309,2067844
Repetidos,718,29138,2067844
Casi Idéntico,718,5,196
Transposicion,718,18364,2067844
Aleatorio,719,19004,2073600
Palindromo,719,18951,2073600
Repetidos,719,28041,2073600
Casi Idéntico,719,7,196
Transposicion,719,19201,2073600
Aleatorio,720,20180,2079364
Palindromo,720,18677,2079364
Repetidos,720,28427,2079364
Casi Idéntico,720,6,196
Transposicion,720,18619,2079364
Aleatorio,721,19198,2085136
Palindromo,721,20231,2085136
Repetidos,721,27723,2085136
Casi Idéntico,721,7,196
Transposicion,721,19662,2085136
Aleatorio,722,18581,2090916
Palindromo,722,18975,2090916
Repetidos,722,28046,2090916
Casi Idéntico,722,5,196
Transposicion,722,19928,2090916
Aleatorio,723,19852,2096704
Palindromo,723,20769,2096704
Repetidos,723,28307,2096704
Casi Idéntico,723,7,196
Transposicion,723,19101,2096704
Aleatorio,724,18332,2102500
Palindromo,724,18097,2102500
Repetidos,724,27550,2102500
Casi Idéntico,724,5,196
Transposicion,724,19555,2102500
Aleatorio,725,20819,2108304
Palindromo,725,21327,2108304
Repetidos,725,28147,2108304
Casi Idéntico,725,6,196
Transposicion,725,18489,2108304
Aleatorio,726,19335,2114116
Palindromo,726,18566,2114116
Repetidos,726,28975,2114116
Casi Idéntico,726,5,196
Transposicion,726,18509,2114116
Aleatorio,727,19354,2119936
Palindromo,727,20195,2119936
Repetidos,727,29116,2119936
Casi Idéntico,727,8,196
Transposicion,727,19217,2119936
Aleatorio,728,22045,2125764
Palindromo,728,20036,2125764
Repetidos,728,29889,2125764
Casi Idéntico,728,6,196
Transposicion,728,18919,2125764
Aleatorio,729,18740,2131600
Palindromo,729,19469,2131600
Repetidos,729,32561,2131600
Casi Idéntico,729,8,196
Transposicion,729,18203,2131600
Aleatorio,730,19504,2137444
Palindromo,730,20243,2137444
Repetidos,730,30473,2137444
Casi Idéntico,730,6,196
Transposicion,730,18558,2137444
Aleatorio,731,19008,2143296
Palindromo,731,18756,2143296
Repetidos,731,28614,2143296
Casi Idéntico,731,6,196
Transposicion,731,18902,2143296
Aleatorio,732,20771,2149156
Palindromo,732,20836,2149156
Repetidos,732,30673,2149156
Casi Idéntico,732,5,196
Transposicion,732,21282,2149156
Aleatorio,733,20431,2155024
Palindromo,733,19264,2155024
Repetidos,733,28368,2155024
Casi Idéntico,733,7,196
Transposicion,733,19847,2155024
Aleatorio,734,20846,2160900
Palindromo,734,19831,2160900
Repetidos,734,30351,2160900
Casi Idéntico,734,5,196
Transposicion,734,20497,2160900
Aleatorio,735,19718,2166784
Palindromo,735,21267,2166784
Repetidos,735,30719,2166784
Casi Idéntico,735,7,196
Transposicion,735,18510,2166784
Aleatorio,736,18980,2172676
Palindromo,736,20599,2172676
Repetidos,736,30066,2172676
Casi Idéntico,736,5,196
Transposicion,736,20533,2172676
Aleatorio,737,19931,2178576
Palindromo,737,19764,2178576
Repetidos,737,30855,2178576
Casi Idéntico,737,7,196
Transposicion,737,19908,2178576
Aleatorio,738,21320,2184484
Palindromo,738,22013,2184484
Repetidos,738,33513,2184484
Casi Idéntico,738,5,196
Transposicion,738,20889,2184484
Aleatorio,739,21304,2190400
Palindromo,739,20740,2190400
Repetidos,739,31399,2190400
Casi Idéntico,739,8,196
Transposicion,739,22111,2190400
Aleatorio,740,21109,2196324
Palindromo,740,21620,2196324
Repetidos,740,30335,2196324
Casi Idéntico,740,5,196
Transposicion,740,20244,2196324
Aleatorio,741,21541,2202256
Palindromo,741,21465,2202256
Repetidos,741,31955,2202256
Casi Idéntico,741,7,196
Transposicion,741,21147,2202256
Aleatorio,742,20341,2208196
Palindromo,742,20912,2208196
Repetidos,742,30126,2208196
Casi Idéntico,742,5,196
Transposicion,742,20580,2208196
Aleatorio,743,20853,2214144
Palindromo,743,21232,2214144
Repetidos,743,30924,2214144
Casi Idéntico,743,7,196
Transposicion,743,20975,2214144
Aleatorio,744,21572,2220100
Palindromo,744,20851,2220100
Repetidos,744,32135,2220100
Casi Idéntico,744,4,196
Transposicion,744,20499,2220100
Aleatorio,745,21065,2226064
Palindromo,745,22094,2226064
Repetidos,745,30646,2226064
Casi Idéntico,745,6,196
Transposicion,745,20628,2226064
Aleatorio,746,21500,2232036
Palindromo,746,20645,2232036
Repetidos,746,30621,2232036
Casi Idéntico,746,5,196
Transposicion,746,20867,2232036
Aleatorio,747,20549,2238016
Palindromo,747,21396,2238016
Repetidos,747,31349,2238016
Casi Idéntico,747,8,196
Transposicion,747,19999,2238016
Aleatorio,748,21468,2244004
Palindromo,748,19894,2244004
Repetidos,748,30105,2244004
Casi Idéntico,748,5,196
Transposicion,748,19717,2244004
Aleatorio,749,19835,2250000
Palindromo,749,20126,2250000
Repetidos,749,31439,2250000
Casi Idéntico,749,6,196
Transposicion,749,20852,2250000
Aleatorio,750,22600,2256004
Palindromo,750,20466,2256004
Repetidos,750,31069,2256004
Casi Idéntico,750,8,196
Transposicion,750,19674,2256004
Aleatorio,751,19447,2262016
Palindromo,751,19924,2262016
Repetidos,751,31462,2262016
Casi Idéntico,751,6,196
Transposicion,751,20899,2262016
Aleatorio,752,20229,2268036
Palindromo,752,20361,2268036
Repetidos,752,31725,2268036
Casi Idéntico,752,5,196
Transposicion,752,19995,2268036
Aleatorio,753,20459,2274064
Palindromo,753,19759,2274064
Repetidos,753,30186,2274064
Casi Idéntico,753,6,196
Transposicion,753,21430,2274064
Aleatorio,754,22640,2280100
Palindromo,754,21382,2280100
Repetidos,754,33081,2280100
Casi Idéntico,754,5,196
Transposicion,754,20925,2280100
Aleatorio,755,21699,2286144
Palindromo,755,20747,2286144
Repetidos,755,30123,2286144
Casi Idéntico,755,6,196
Transposicion,755,19138,2286144
Aleatorio,756,21376,2292196
Palindromo,756,23025,2292196
Repetidos,756,31403,2292196
Casi Idéntico,756,5,196
Transposicion,756,20685,2292196
Aleatorio,757,21939,2298256
Palindromo,757,22039,2298256
Repetidos,757,32169,2298256
Casi Idéntico,757,6,196
Transposicion,757,20331,2298256
Aleatorio,758,21990,2304324
Palindromo,758,22830,2304324
Repetidos,758,32123,2304324
Casi Idéntico,758,7,196
Transposicion,758,21051,2304324
Aleatorio,759,21294,2310400
Palindromo,759,21317,2310400
Repetidos,759,31055,2310400
Casi Idéntico,759,7,196
Transposicion,759,20168,2310400
Aleatorio,760,21608,2316484
Palindromo,760,21086,2316484
Repetidos,760,33738,2316484
Casi Idéntico,760,5,196
Transposicion,760,21601,2316484
Aleatorio,761,21799,2322576
Palindromo,761,22333,2322576
Repetidos,761,33387,2322576
Casi Idéntico,761,9,196
Transposicion,761,20298,2322576
Aleatorio,762,21656,2328676
Palindromo,762,20350,2328676
Repetidos,762,32522,2328676
Casi Idéntico,762,5,196
Transposicion,762,19796,2328676
Aleatorio,763,21243,2334784
Palindromo,763,22008,2334784
Repetidos,763,31453,2334784
Casi Idéntico,763,9,196
Transposicion,763,20847,2334784
Aleatorio,764,20341,2340900
Palindromo,764,20972,2340900
Repetidos,764,32198,2340900
Casi Idéntico,764,5,196
Transposicion,764,20376,2340900
Aleatorio,765,21425,2347024
Palindromo,765,22078,2347024
Repetidos,765,32290,2347024
Casi Idéntico,765,8,196
Transposicion,765,21500,2347024
Aleatorio,766,20783,2353156
Palindromo,766,21892,2353156
Repetidos,766,32831,2353156
Casi Idéntico,766,6,196
Transposicion,766,22410,2353156
Aleatorio,767,23886,2359296
Palindromo,767,22216,2359296
Repetidos,767,34421,2359296
Casi Idéntico,767,8,196
Transposicion,767,20705,2359296
Aleatorio,768,21834,2365444
